id,nome,email,telefone,valor,desconto
8056,Nia Nickle,noodles@sbcglobal.net,555919295629,45.45,35
8094,Charisse Baltes,heine@aol.com,,"45,44",12
8087,Shaunna Myers,tezbo@yahoo.ca,(426) 296-8278,7,45
8019,Del Mayorga,aukjan@icloud.com,(264) 385-2009,"45,44",-
8027,Kandis Marchan,lstein@mac.com,(209) 620-1483,10009,8
8006,Myesha Vester,galbra@att.net,(667) 584-1597,"345,66",86
8041,Marietta Longley,krueger@live.com,589939-9074,"99,9",0
8067,Vernell Tarr,yzheng@msn.com,(859) 730-2692,"99,9",5
8057,Syreeta Gilland,imightb@outlook.com,(446) 558-8400,"345,04",9
8068,Angelena Nettleton,sthomas@comcast.net,(595) 314-1274,"R$10,00",7
8010,Tashia Rasor,claesjac@hotmail.com,,"23,45",45
8044,Cammie Nason,duchamp@yahoo.ca,(904) 209-8844,95.85,4
8086,Jerica Eason,sthomas@optonline.net,(320) 376-0680,"R$10,00",12
8040,Lea Palencia,kidehen@optonline.net,(266) 523-5211,"878,45",0
8037,Marnie Gilmore,naoya@yahoo.ca,,45.34,-
8053,Ciera Weglarz,pavel@gmail.com,(307) 460-6844,56.33,15
8055,Hildred Toll,bachmann@gmail.com,(608) 720-8436,"425,66",54
8001,Nannette Buse,lcheng@icloud.com,(615) 890-2584,"434,23",87
8017,Bessie Pressman,kjohnson@mac.com,(675) 398-8151,"343,34",43
8064,Herb Sheats,fwiles@aol.com,,55.00,3
8008,Christoper Kier,wmszeliga@msn.com,,"23,45",0
8081,Jeneva Nesby,oster@me.com,(763) 660-7815,"435,22",5
8012,Raymundo Sawicki,parsimony@yahoo.ca,,"45,44",76
8084,Eryn Coatney,daveewart@comcast.net,(852) 887-0416,"84,33",45
8039,Madie Brodeur,fwiles@aol.com,(743) 543-6464,"96,96",34
8080,Dell Burrus,kewley@me.com,8686466765,45.45,66
8036,Jesica Sanger,madler@icloud.com,239 504-7089,"84,33",0
8026,Xochitl Spain,solomon@outlook.com,(336) 973-0677,"990,93",66
8045,Hoyt Greenan,dleconte@gmail.com,,"435,22",-
8073,Shella Wold,satishr@gmail.com,(640) 650-5262,"345,66",36
8021,Sang Drexler,improv@yahoo.ca,(522) 656-6015,"345,09",10
8065,Katerine Ledger,rhavyn@live.com,,"878,45",3
8070,Patti Catalfamo,janusfury@me.com,(885) 346-8712,"875,06",-
8033,Lacie Dewall,ateniese@aol.com,(626) 726-5426,10009,3
8054,Tasha Pergande,podmaster@sbcglobal.net,(735) 489-8413,"345,66",5
8077,Mae Crays,shazow@yahoo.ca,,666,4
8038,Andra Rudy,gknauss@msn.com,(533) 529-3355,"425,66",34
8043,Pamela Fernald,nimaclea@live.com,,12,76
8031,Brunilda Yarnall,danneng@aol.com,(290) 224-3362,"434,23",35
8023,Kia Langlais,aglassis@gmail.com,(615) 799-3644,45.34,5
8098,Melba Wages,haddawy@optonline.net,(592) 7133780,"345,33",-
8005,Ivy Schwabe,rohitm@gmail.com,(717) 518-8335,65.90,4
8052,Andree Nagle,bbirth@outlook.com,,"23,09",0
8074,Antionette Victory,rasca@verizon.net,(452) 375-7620,7,-
8025,Rosetta Weddington,bastian@yahoo.ca,,"345,12",-
8032,Gretta Leonard,ehood@comcast.net,(921) 674-2547,3453.89,8
8075,Cleo Devino,chrisk@aol.com,(580) 780-4704,"990,93",0
8091,Yajaira Musich,hellfire@gmail.com,445261-1851,"345,33",5
8020,Stuart Cartwright,sakusha@sbcglobal.net,(695) 868-4478,"949,52",-
8047,Kristin Aispuro,matloff@outlook.com,(938) 7938984,"990,93",4
8085,Anja Staab,murty@att.net,692712-6321,"345,33",65
8060,Janey Stennett,mcmillan@mac.com,,"654,45",24
8066,Marcela Metz,zwood@icloud.com,(976) 634-0841,65.90,45
8063,Delorse Stpeter,johndo@mac.com,(259) 771-2878,95.85,0
8076,Camille Roberge,fallorn@gmail.com,(231) 697-8113,"949,52",-
8099,Alona Wagner,evans@sbcglobal.net,,1000,43
8059,Francesca Ollis,avalon@optonline.net,(896) 816-9050,"425,66",8
8002,Faye Leavell,johnbob@sbcglobal.net,,"345,12",13
8058,Jama Arn,preneel@aol.com,(606) 557-0751,"343,34",5
8013,Luella Brinks,tsuruta@msn.com,(994) 295-9644,"23,09",12
8078,Glenna Mahlum,oechslin@msn.com,(775) 729-5175,"23,45",9
8003,Monte Loberg,pappp@aol.com,(810) 243-4291,12,7
8062,Henrietta Scherr,debest@yahoo.com,(518) 6935645,"534,99",12
8007,Anisa Garwood,dmiller@aol.com,(400) 5249843,"949,52",65
8046,Slyvia Lonon,tangsh@sbcglobal.net,(375) 848-3419,"875,06",6
8095,Pete Avalos,ryanvm@gmail.com,(283) 583-2672,"96,96",66
8051,Ulysses Trantham,weidai@optonline.net,(603) 666-4819,55.00,56
8048,Sophie Tassone,ullman@aol.com,(728) 620-4178,"534,99",66
8042,Idell Oba,duchamp@hotmail.com,,"654,45",76
8009,Spencer Tomko,alfred@optonline.net,(559) 270-6704,1000,23
8034,Dotty Edgemon,iapetus@me.com,,"345,23",7
8050,Elba Wear,privcan@optonline.net,(440) 236-1089,"R$10,00",7
8082,Lura Snipe,dgriffith@optonline.net,(784) 293-7392,"435,22",87
8072,Marissa Burstein,lamprecht@att.net,(714) 780-0209,"878,45",34
8028,Amina Piotrowski,hahiss@aol.com,(993) 711-5482,10009,-
8049,Bill Levron,shrapnull@me.com,,666,0
8015,Sina Coover,ideguy@verizon.net,(416) 722-1643,"645,06",45
8083,Jasper Penrose,dhwon@optonline.net,(538) 409-4426,"345,09",76
8079,Lieselotte Titsworth,konit@live.com,(767) 829-7298,"345,12",45
8011,Maryjo Forshey,dowdy@sbcglobal.net,,960.89,0
8029,Maegan Border,scarolan@outlook.com,(785) 900-2479,"654,45",5
8014,Janee Mao,monkeydo@verizon.net,(213) 755-1104,"23,09",56
8092,Rozanne Hickle,madler@live.com,284320-7550,"99,9",44
8030,Dung Fryman,gbacon@comcast.net,(791) 935-2963,960.89,0
8022,Mary Menzel,dwendlan@sbcglobal.net,(371) 303-7398,"345,23",23
8024,Anh Dunavant,tubesteak@hotmail.com,(999) 200-1908,1000,15
8088,Marna Bonetti,bonmots@hotmail.com,,12,86
8089,Rosemarie Guillot,airship@outlook.com,(781) 377-3987,"534,99",56
8093,Lupita Holford,dmbkiwi@comcast.net,(375) 611-9553,7,6
8004,Wilton Ploss,oneiros@verizon.net,,56.33,34
8090,Chastity Ormiston,gtaylor@msn.com,(561) 750-6195,3453.89,4
8071,Soledad Kehl,sharon@live.com,(225) 470-0314,"434,23",7
8097,June Limbaugh,sabren@aol.com,,"875,06",23
8069,Marcia Cutter,lamky@live.com,(362)812-7899,"645,06",-
8061,Tristan Schlueter,ilyaz@yahoo.ca,(250) 969-2516,"345,23",7
8096,Miquel Bridgett,purvis@live.com,(706) 836-1363,"645,06",56
