id;name;email;phone;value;discount;valor_com_desconto
1000;Cynthia Renee;nulla@sitametconsectetuer.co.uk;+550517027535;R$ 75,82;R$ 66,00;R$ 9,82
1001;Kevin Zahir;Cras@justosit.org;+552823664062;R$ 44,54;R$ 23,00;R$ 21,54
1002;Marvin Tucker;nec@nislsemconsequat.net;+550590806768;R$ 17,12;R$ 74,00;R$ -56,88
1003;Olympia Blake;malesuada@at.edu;+559286333253;R$ 6,15;R$ 33,00;R$ -26,85
1004;Wallace Ethan;sem.molestie@urnasuscipit.net;+559943249907;R$ 99,76;R$ 49,00;R$ 50,76
1005;Colby Aline;ornare.sagittis@montesnascetur.net;+559688590017;R$ 37,98;R$ 37,00;R$ 0,98
1006;Carla Emerald;Suspendisse.aliquet@nonmassa.edu;+555848087730;R$ 66,84;R$ 97,00;R$ -30,16
1007;Imogene Briar;sed.turpis@nonvestibulumnec.org;+559578525089;R$ 34,16;R$ 64,00;R$ -29,84
1008;Haviva Yoshi;in@consectetueradipiscingelit.edu;+552913217760;R$ 67,18;R$ 57,00;R$ 10,18
1009;Winter Honorato;enim.Mauris.quis@elitAliquamauctor.co.uk;+550525019786;R$ 88,89;R$ 79,00;R$ 9,89
1010;Gray Idola;congue.In@Fuscealiquam.com;+555056209686;R$ 54,27;R$ 97,00;R$ -42,73
1011;Sawyer Angela;libero.dui.nec@acturpisegestas.co.uk;+551526867824;R$ 47,56;R$ 77,00;R$ -29,44
1012;Hilel Nyssa;purus@risus.com;+558272359672;R$ 47,49;R$ 65,00;R$ -17,51
1013;Nicole Kareem;ante.iaculis@interdum.co.uk;+554129589152;R$ 21,49;R$ 73,00;R$ -51,51
1014;Clio Alfonso;luctus.et@leoelementum.edu;+555963224153;R$ 62,02;R$ 52,00;R$ 10,02
1015;Anastasia Ahmed;Donec.non.justo@eratSed.org;+557999268828;R$ 95,22;R$ 18,00;R$ 77,22
1016;Gabriel Nicholas;Curabitur@tempordiamdictum.net;+556202063879;R$ 5,60;R$ 72,00;R$ -66,40
1017;Angela Vernon;non.bibendum@vitae.ca;+559933327608;R$ 61,74;R$ 25,00;R$ 36,74
1018;Janna Tate;purus@ipsum.net;+554943714705;R$ 66,90;R$ 83,00;R$ -16,10
1019;Lynn Christine;tellus.Aenean@nibh.com;+554845946191;R$ 49,86;R$ 63,00;R$ -13,14
1020;Blair Dexter;Mauris@aliquamarcu.org;+553363254822;R$ 82,99;R$ 90,00;R$ -7,01
1021;Brenna Sean;semper.et.lacinia@sitamet.net;+552463141191;R$ 15,38;R$ 1,00;R$ 14,38
1022;Jared Clark;dolor.Fusce.mi@nullaIn.net;+556787619317;R$ 84,07;R$ 28,00;R$ 56,07
1023;Kadeem Hedy;sit@disparturient.edu;+559079539678;R$ 63,41;R$ 31,00;R$ 32,41
1024;Quyn Phyllis;quam@egestasnunc.org;+555860134901;R$ 55,53;R$ 45,00;R$ 10,53
1025;Audrey Travis;Maecenas.ornare.egestas@nasceturridiculusmus.com;+552292058656;R$ 70,12;R$ 42,00;R$ 28,12
1026;Jason Louis;fringilla.Donec@mauris.co.uk;+555233263033;R$ 81,51;R$ 53,00;R$ 28,51
1027;Uta Kylee;id.nunc.interdum@facilisiSed.net;+555089652989;R$ 71,49;R$ 10,00;R$ 61,49
1028;Nell Ivana;id.blandit@malesuadaInteger.edu;+555101373934;R$ 67,47;R$ 24,00;R$ 43,47
1029;Tiger Edan;ante.dictum@nonarcu.edu;+553146216707;R$ 20,18;R$ 11,00;R$ 9,18
1030;Mari Prescott;Quisque.nonummy@auctor.edu;+551251490967;R$ 15,78;R$ 96,00;R$ -80,22
1031;Neve Evan;Nam.ac.nulla@nislelementumpurus.net;+554651466198;R$ 55,66;R$ 48,00;R$ 7,66
1032;Dieter Graiden;sit.amet@Inornare.org;+559056619097;R$ 15,68;R$ 38,00;R$ -22,32
1033;Lois Macaulay;sit.amet.metus@Nunc.com;+552482381026;R$ 13,23;R$ 31,00;R$ -17,77
1034;Joseph Jesse;euismod@ametorci.org;+559297597400;R$ 36,61;R$ 25,00;R$ 11,61
1035;Brian Imelda;Integer.in.magna@duilectusrutrum.edu;+554289015253;R$ 7,60;R$ 68,00;R$ -60,40
